steamid	appid	playtime_forever
76561197960266440	3590	370
76561197960266440	8880	95
76561197960266440	32360	190
76561197960266440	29180	170
76561197960266440	37800	160
76561197960266440	25700	496
76561197960266440	550	1586
76561197960266440	9900	565
76561197960266440	8190	816
76561197960266440	9500	85
76561197960266440	8980	4989
76561197960266440	31280	1943
76561197960266440	38900	375
76561197960266440	63700	232
76561197960266440	47870	1096
76561197960266440	26800	89
76561197960266440	40700	236
76561197960266440	72300	565
76561197960266440	47890	25058
76561197960266440	620	17323
76561197960266440	55100	69
76561197960266440	99890	310
76561197960266440	105600	56940
76561197960266440	70300	95
76561197960266440	32800	171
76561197960266440	98600	70
76561197960266440	35720	486
76561197960266440	63710	566
76561197960266440	21000	271
76561197960266440	2400	528
76561197960266440	104900	582
76561197960266440	49520	32000
76561197960266440	221260	2314
76561197960266440	17460	908
76561197960266440	214510	31626
76561197960266440	212480	318
76561197960266440	203160	483
76561197960266440	234710	372
76561197960266440	265930	150
76561197960266440	92	643
76561197960266440	440	7483
76561197960266440	3483	515
76561197960266440	17520	10293
76561197960266440	17700	80
76561197960266440	234330	331
76561197960266440	259080	157
76561197960266231	10	179
76561197960266231	20	354
76561197960266231	240	1810
76561197960266231	2100	157
76561197960266231	4000	136
76561197960266231	13210	803
76561197960266231	15100	78
76561197960266231	500	796
76561197960266231	13600	92
76561197960266231	1250	271
76561197960266231	41500	109
76561197960266231	550	3036
76561197960266231	35140	90
76561197960266231	41700	138
76561197960266231	12210	434
76561197960266231	48950	105
76561197960266231	29180	73
76561197960266231	93200	202
76561197960266231	92800	300
76561197960266231	73010	102
76561197960266231	105600	1387
76561197960266231	96200	130
76561197960266231	2200	107
76561197960266231	9010	75
76561197960266231	22450	61
76561197960266231	107100	732
76561197960266231	41070	179
76561197960266231	63000	490
76561197960266231	8930	1292
76561197960266231	113200	64
76561197960266231	65800	60
76561197960266231	102600	921
76561197960266231	38700	106
76561197960266231	6120	238
76561197960266231	63710	77
76561197960266231	94200	114
76561197960266231	204340	70
76561197960266231	206410	140
76561197960266231	730	114
76561197960266231	214560	131
76561197960266231	440	441
76561197960266231	17520	191
76561197960266231	41010	252
76561197960266264	10	872
76561197960266264	80	24102
76561197960266264	4230	490
76561197960266264	6510	507
76561197960266264	16450	430
76561197960266264	10180	4142
76561197960266264	10190	55386
76561197960266264	10680	224
76561197960266264	12840	642
76561197960266264	34830	565
76561197960266264	33910	1987
76561197960266264	33930	5429
76561197960266264	44310	109
76561197960266264	42700	1129
76561197960266264	42710	34779
76561197960266264	21100	371
76561197960266264	24870	1164
76561197960266264	47920	318
76561197960266264	42680	1144
76561197960266264	42690	5828
76561197960266264	65730	541
76561197960266264	63380	630
76561197960266264	730	6007
76561197960266264	202970	230
76561197960266264	202990	830
76561197960266264	34870	330
76561197960266264	107410	335
76561197960266264	209160	419
76561197960266264	209170	175
76561197960266264	221100	2361
76561197960266299	240	44422
76561197960266863	10	1629
76561197960266863	220	60
76561197960266863	240	1967
76561197960266863	300	320
76561197960266863	2990	508
76561197960266863	4760	3057
76561197960266863	4700	11166
76561197960266863	19900	129
76561197960266863	3540	581
76561197960266863	10500	42895
76561197960266863	34030	19463
76561197960266863	24790	357
76561197960266863	34330	24231
76561197960266863	57900	397
76561197960266863	24960	7687
76561197960266863	214950	3262
76561197960266863	570	204
76561197960266530	10	50896
76561197960266530	80	418
76561197960266530	240	249
76561197960266530	21660	661
76561197960266530	8980	1194
76561197960266987	10	622
76561197960266987	220	458
76561197960266987	240	640
76561197960266987	380	148
76561197960266471	50	172
76561197960266471	70	125
76561197960266471	220	106
76561197960266471	320	155
76561197960266471	500	871
76561197960266923	10180	687
76561197960266923	10190	38475
76561197960266923	42700	259
76561197960266923	42710	12563
76561197960266923	42680	883
76561197960266923	42690	23179
76561197960266923	213120	199
76561197960266923	730	196
76561197960266923	202970	118
76561197960266923	202990	19642
